Feature,TF-IDF Importance
say,116.47909374134716
israel,114.70713648704756
gaza,96.96595316347408
israeli,74.57075345681038
hamas,63.45229682197822
palestinian,62.09338409495108
war,55.87647525667351
attack,43.89123851198321
kill,43.33621186094335
people,42.51335002283007
aid,40.95925998351419
military,39.99931364594346
u,39.9864072676228
mr,39.187543891336084
would,36.484072488115295
hostage,35.396047509244625
state,33.97602949275891
minister,33.45235935753027
idf,32.84446319999632
also,31.94180309220286
rafah,30.93696976710938
iran,30.902531946467438
united,30.662325775434986
nbsp,30.594499599888753
take,29.526399246201716
time,29.493875488157595
force,29.35694415264514
one,28.380544167537046
security,28.090040627033687
report,26.76216004897226
official,26.72336283196634
group,26.5351112640496
netanyahu,26.438808699736704
call,26.169775328081947
day,25.79421145790745
government,25.532402831859475
continue,25.221651214132777
include,25.024410293830652
page,24.976317266906936
ceasefire,24.651754244193608
follow,24.48543774744589
strike,24.46954670678573
close,24.333202286710627
police,24.065324913508324
president,23.953692382094363
live,23.900024214162233
two,23.75963095172914
university,23.612477446246096
international,23.600113972543802
city,22.822408386978996
strip,22.58290301609832
biden,22.326245796618075
prime,22.316354891157044
un,22.298225029480864
support,22.13705815925399
civilian,21.94971793482353
make,21.80283546799221
terrorist,21.739528126059234
told,21.712679272055603
country,21.704533930299686
since,21.66590230923106
new,21.534860905106942
operation,21.507203439436324
october,21.42440058307998
year,21.41854047118356
accord,21.214196371530164
family,20.902995789309607
hospital,20.85115575392422
come,20.5866626062945
7,20.484898592486143
month,20.385741032956183
west,20.254483141772226
go,20.122792905043056
world,20.091758771622377
student,19.796895941249293
humanitarian,19.701007556315
fire,19.66240904892233
area,19.571380735669667
week,19.528095590102804
could,19.484812727440765
child,19.39145507084207
hezbollah,19.38735726337139
last,19.374915139985983
leader,19.28653333231852
release,19.286199618925806
deal,19.27038782366482
bank,19.258903307526825
coverage,18.67967801816978
jerusalem,18.632452888591484
use,18.49781856538833
protest,18.42584385266204
want,18.40053711123087
court,18.38340506846678
many,18.13461349249702
southern,17.790829869087386
border,17.6902759287607
need,17.636385351747666
add,17.34402801035322
end,17.19817804876679
plan,16.824413079934804
work,16.798554581829542
air,16.66979375484852
statement,16.619603403786023
see,16.54438756042971
verify,16.487384207625528
palestinians,16.466466273718737
part,16.42977112020474
arrest,16.281762246735934
access,16.27599885757971
first,16.210837832096537
back,16.14512852761102
jewish,15.889843945483141
home,15.851071598449732
advertisement,15.744197180465383
show,15.71497736373995
even,15.673519813501713
member,15.60039579934141
target,15.588050556367163
three,15.553253154335767
lebanon,15.385897938380122
please,15.385193895667786
right,15.38125740801872
ministry,15.366713050256537
begin,15.184126319181992
thank,15.137071615233054
march,15.04507100917477
patience,15.008749332675215
bbc,14.966933052311823
rocket,14.79637705221134
agency,14.7545676373586
conflict,14.749078225558724
health,14.734883581638899
arm,14.702975824843712
nation,14.6176808032913
get,14.611379043979897
monday,14.514024236373787
thing,14.483751896822724
response,14.365159140578424
food,14.226244890711962
medium,14.222724166931533
news,14.211277451518953
political,14.192096872731852
return,14.164837959938465
launch,14.164705551736304
territory,14.118775587980702
stand,14.092364485618724
soldier,14.052410216540968
move,13.87160676024506
still,13.855278191474179
tuesday,13.849411778556163
may,13.814640906112743
northern,13.755916757452457
warn,13.725902975434995
least,13.71279649839272
order,13.711179145260042
party,13.661463413461405
held,13.62472866820107
ndash,13.567920731941538
know,13.52041305897512
way,13.51929585260666
missile,13.50720723966847
face,13.464333441315468
us,13.44141528547298
death,13.397198149096456
lead,13.395430866915856
well,13.327338637083523
benjamin,13.324701009463006
law,13.256839006336328
protester,13.250796737884361
woman,13.119476394071059
fight,13.119425748892592
like,12.974675640293826
weapon,12.958513173223643
around,12.950916062797019
issue,12.94166583505094
drone,12.92690302487931
already,12.922407563847665
foreign,12.921368031351184
give,12.915703076591258
far,12.885372173171065
ground,12.830776777619814
national,12.801167725690602
iranian,12.689651677120295
wednesday,12.659084628480915
decision,12.540209752428344
start,12.51863201415423
near,12.498182764857608
sunday,12.418581309255831
place,12.393546555510088
house,12.269233997371387
council,12.213490879508617
2024,12.15907295660129
campus,12.109646285184393
post,12.096968661513953
community,12.066587575987544
several,12.024365522951003
east,11.991377731290841
carry,11.95491975256921
help,11.863174997060513
another,11.86135370256326
authority,11.799890235548542
head,11.78849014648672
worker,11.777571452939219
saturday,11.758509198534693
number,11.691677076864657
talk,11.664877620561818
four,11.641271975753247
life,11.620014221138906
body,11.610914518721863
occupy,11.582749759189285
across,11.430341683495927
try,11.421404820534502
egypt,11.389293574422895
building,11.372343608328903
central,11.361739346437961
officer,11.29862646651289
video,11.283415592623031
friday,11.259735774762497
public,11.258198826367861
action,11.177526262152057
provide,10.970336409294102
stop,10.969532238324481
demand,10.923287021510292
ask,10.891760433913152
thursday,10.891258422112127
found,10.851234676069653
cross,10.844030380371603
joe,10.843702752323951
pressure,10.824540630999875
senior,10.820972667467908
resolution,10.800003347880399
million,10.742829980716637
arab,10.7302838685581
late,10.696992876942591
violence,10.678075470118685
thousand,10.641365443406924
defense,10.63998407980596
peace,10.59617265326027
remain,10.540964544571516
incident,10.52178127819584
without,10.508919514315828
settler,10.495854976024477
south,10.462974696348946
campaign,10.45872298897018
must,10.442132430343147
believe,10.419261513415968
washington,10.3677306811908
situation,10.354906273475708
chief,10.345899840266142
others,10.317004526273735
set,10.312352535253735
offensive,10.303330183144672
point,10.285807198795299
allow,10.218038824152147
enter,10.163924936612402
crime,10.116920369120594
large,10.077794190577416
election,10.025020426407163
meeting,9.991134651658726
american,9.975048609705842
clear,9.96834417415917
side,9.928010748620313
put,9.921122236091147
troop,9.915641524103913
effort,9.905426673356006
recent,9.901481543899909
hit,9.897897414858624
camp,9.885769175595156
proposal,9.869525676875698
islamic,9.833443350911203
reach,9.809044706151006
displace,9.743175608469073
event,9.732147847187841
defence,9.706963410578961
human,9.669062156991467
april,9.662005377370736
happen,9.657105999110257
appear,9.655619013747776
announce,9.652889112048026
pa,9.580044297561399
