Feature,TF-IDF Importance
the,522.6706608897124
of,228.39903823242946
to,226.39677528289312
and,212.1068180866655
in,210.27807902178844
a,175.29627579276573
that,107.3967692210231
on,100.61119262148185
israel,98.57595952071544
s,91.30115373860383
for,81.43450365977012
is,77.90373849020108
gaza,77.82692817829847
said,74.8240575228805
it,71.52407629608585
was,65.65072311270482
with,59.17469314047381
has,59.05906894010554
israeli,58.07440667249375
as,56.83926602962648
hamas,55.485988674937516
he,52.99516014325524
by,52.99015038998271
have,51.58585218053003
from,46.7790003540687
are,45.94566911665721
at,45.92866114354042
we,45.77063340814364
an,45.75410597017388
war,44.692295770618536
were,43.870865443787125
ldquo,43.79432815242351
rdquo,42.39707562398013
this,41.552353781492705
not,41.533965387818064
rsquo,41.242073856113656
palestinian,40.45616747901036
been,40.27405357985077
its,38.722389572192185
had,37.91504683647539
be,36.457525785757255
nbsp,36.23566229443883
his,35.54588744551148
they,35.34240510554046
us,35.02977428204758
will,33.017828080981545
people,32.81247929981657
you,32.70428957141373
but,32.144483283669736
i,31.886294177758604
mr,31.668435635716556
aid,31.43661237582162
military,30.953843935617407
who,30.509448761531196
which,28.629618677197367
killed,28.488342837860827
more,27.927601640254274
their,27.604407600834417
would,27.419386741315872
iran,26.814451706664343
idf,26.794342883118798
palestinians,26.690904444885778
after,26.631349515993048
all,26.30343598248057
there,25.898388844347693
united,25.79109268878476
minister,25.487389086569294
rafah,25.07481124995063
also,24.102774038715967
netanyahu,23.741313491807833
attack,23.69176667778821
she,23.35278795920445
our,23.114021194725844
al,23.003082566461167
now,22.923293761872372
about,22.408864517488244
hostages,22.09100306902293
one,21.96197054602561
here,21.945142682156078
security,21.809396119971677
against,21.468109850751386
her,21.29490824244773
or,20.45669991856145
biden,20.372139688277016
than,20.3263641666779
over,20.195997129009424
can,20.0749070784411
police,19.93119287920262
two,19.8430453226509
times,19.821645948449536
government,19.813542533971006
your,19.616782458224645
page,19.476661502333084
while,19.35039209966842
into,19.3256188073905
forces,18.914308635853565
president,18.817926803900775
strip,18.752456236114497
closed,18.669182685327407
some,18.451526984850126
out,18.415806919605867
international,18.34379003896511
states,18.32440657272808
live,18.320983368075684
says,18.249944288681572
when,18.106114327776258
if,18.03956236837616
according,18.007007441483598
them,17.904600768933033
university,17.812624543598023
city,17.64614974691415
state,17.612050139741534
other,17.597177707032742
what,17.497334513934724
prime,17.38562417359334
during,17.297842448738077
since,17.16140645297226
hezbollah,17.090035762754482
un,16.836786120766238
ceasefire,16.791855523103035
no,16.787395684326942
october,16.734354297879865
new,16.721563536131363
group,16.661341029211837
7,16.579666479800302
west,16.242041053520477
told,16.213100749867813
world,16.029835709977984
continue,15.843176942632168
bank,15.756693499202497
between,15.699882820070453
t,15.628470844517889
jerusalem,15.511111860916484
how,15.310041011004893
up,15.091316483184055
attacks,14.98950419425827
humanitarian,14.887835974204618
year,14.859247320831386
follow,14.758627458363058
last,14.564508714084901
could,14.55452386975152
officials,14.509365889480945
court,14.44765199399818
day,14.435623203139823
including,14.388784668864403
children,14.380098173893577
coverage,14.30116913939427
being,14.173702014604535
deal,14.101679970994075
southern,14.057915744730252
time,13.939267924369501
many,13.925504283015512
border,13.813075435146098
hospital,13.523523794205756
where,13.507959969187658
bbc,13.438983116410808
support,13.388170702666091
lebanon,13.3614596677065
air,13.286529279538108
