Feature,TF-IDF Importance
the,524.9225226888349
of,229.31953625245578
to,227.47855786633718
and,213.1117292701094
in,211.10886763867626
a,176.086619868395
that,107.11057457838314
on,101.0187969267733
israel,90.90367732228583
for,81.74124704025422
is,78.25939342855382
gaza,76.35065830606284
said,75.27107591754798
it,69.54758559277103
s,66.42618759332507
was,66.09562292175193
with,59.44954538480308
has,59.31656103609913
israeli,58.28521188211033
as,57.084939896830775
hamas,53.683463457019016
by,53.24632516207853
he,52.91081541055364
have,51.83441062697089
from,46.998526513798915
are,46.13621223740959
at,46.13201056325266
an,45.953958473661
were,44.88877667284571
war,44.796599738267936
we,44.55747525020272
ldquo,43.777494216565515
rdquo,42.38062355531303
not,41.785989974307135
this,41.71678544406365
rsquo,41.2019648770732
its,40.758784071718814
palestinian,40.53840826042709
been,40.520098985563095
had,38.179667477621265
be,36.63301058299068
nbsp,36.26403188253018
his,35.78737151260463
us,35.26969405314752
they,34.974782928477715
will,33.17791855417855
people,32.83845750542094
you,32.49705527613264
but,32.33007225950318
mr,31.938089995901883
aid,31.57089125416158
military,30.809412766027407
who,30.606011300280258
i,30.374957774701784
which,28.79649331755236
killed,28.65354757987894
more,28.059277719705275
their,27.730223030836363
would,27.548203700640098
after,26.761461013230644
palestinians,26.74433365176559
all,26.403997854593342
idf,26.102817680513684
united,25.777977686477026
there,25.46225537950997
minister,25.180714959722433
rafah,24.952045684117312
also,24.239920184900974
attack,23.890901547222747
she,23.428783114834143
our,23.192630702916308
al,23.074355245534587
now,22.977097185546995
netanyahu,22.534759715025242
about,22.53285027820693
hostages,22.220122864121034
one,22.06116812710947
here,21.97523743511008
security,21.899338541642116
iran,21.806886308187284
against,21.553402817248354
her,21.493945292047382
or,20.561208987540933
than,20.436975556680586
over,20.272781128745986
police,19.957943414624005
two,19.93724776905535
times,19.818527436380954
your,19.625498574982753
page,19.46696854483054
biden,19.431992010600368
into,19.413332642288374
while,19.395799410966788
can,19.391946403083054
government,19.27127122926553
forces,19.073530520056913
president,18.738019761498492
strip,18.709598605183697
closed,18.672471616280365
some,18.531525967317723
out,18.506992070586723
international,18.407460207125794
says,18.378379810324752
states,18.335462357298972
live,18.324396564000455
when,18.190237880860376
if,18.127291140937018
according,18.073179471445375
them,18.022755046214883
state,17.659692661539175
other,17.579799868587404
prime,17.443892070986468
university,17.406117819849964
during,17.368940761393887
city,17.34762497619668
what,17.291070120860304
since,17.2564005425976
no,16.898273854712336
ceasefire,16.867952643753426
october,16.829646539332902
new,16.76917871420978
7,16.67702498375343
hezbollah,16.621942794984516
told,16.353970061130205
west,16.282630069100957
group,15.935827599184206
un,15.910435317554514
continue,15.861807582719107
world,15.843163972947822
between,15.767016375667676
israels,15.728189761389382
bank,15.641105152388151
jerusalem,15.444283666842978
how,15.31560500302527
up,15.1710635735786
attacks,15.062142827814704
humanitarian,14.952106688918203
follow,14.763456405432903
could,14.648428935102945
last,14.646857506220657
officials,14.561352082038901
year,14.548474655779465
day,14.48703081257746
including,14.466332491682024
court,14.28520599055376
coverage,14.283864813914084
being,14.259713265548697
children,14.22378907075234
deal,14.17113777968997
southern,14.114641557342066
time,14.02139419132351
many,13.99060321400988
border,13.867360592975448
where,13.567814868391622
support,13.44266758727394
air,13.379242685145455
strike,13.335377130351787
hospital,13.295521084475283
so,13.199861796558736
my,13.095601397572992
lebanon,13.077152948629976
bbc,12.993177919996372
three,12.987856383564937
quot,12.98634991631415
any,12.98584590438028
operation,12.812782251928052
access,12.791744392375328
only,12.754123886891096
jewish,12.733917849333947
nations,12.733814531561956
first,12.589763717088362
000,12.577630765567637
called,12.576363679126196
students,12.560089770999127
civilians,12.519125777596626
advertisement,12.506916810270733
week,12.490176734066656
him,12.429994501790217
do,12.360776858658259
verify,12.354982071114724
1,12.354551928195292
please,12.173701119401123
media,12.08986915499717
ministry,12.050359091178093
area,11.979257892058692
thank,11.849473340645849
patience,11.84519728834466
fire,11.788921663180647
those,11.698460650679833
months,11.67366733674368
statement,11.62379406547053
under,11.602655716420307
march,11.584025770043079
monday,11.438216110389765
health,11.373224649986353
back,11.329007961311834
added,11.301854998686444
conflict,11.298020883180522
news,11.263672631464004
end,11.229099279909798
tuesday,11.17538662470541
terrorist,11.046585081631783
most,11.035788077951855
country,11.029838915333988
political,10.952284734364632
may,10.932035721143738
food,10.85301407559461
response,10.83961381918051
before,10.814183351515984
least,10.790221490924448
did,10.7612060005217
report,10.750459475480081
reported,10.73773165135741
leaders,10.718137470082041
northern,10.71204813166139
things,10.618303561355674
days,10.611001121782731
part,10.582143048192338
2024,10.578192055730156
protesters,10.575505841864773
these,10.57038048894482
held,10.526092931604149
stand,10.52278370526869
official,10.514281101393614
law,10.512954023406449
years,10.458086889561125
wednesday,10.45355153826037
made,10.443155385266662
because,10.39207000418191
benjamin,10.366285971738044
family,10.338495160473974
want,10.259692509859883
still,10.243320207322473
should,10.224555145264071
iranian,10.171870827288208
foreign,10.134137821593193
just,10.111058049518093
sunday,10.09452640772726
israelis,10.048567863278365
month,10.014825248975479
agency,10.01370959620721
around,10.013379150202576
soldiers,9.987240373787202
already,9.96762516631199
even,9.906851149326426
near,9.903867366982107
say,9.862203497585488
both,9.844119310549901
t,9.816616334822687
council,9.815429575587908
then,9.780278780557271
through,9.772660157971629
saturday,9.729228342669346
taken,9.707342201192612
long,9.696940358056208
several,9.66831382989964
four,9.635835774354103
like,9.621357000358609
ndash,9.598324497156806
old,9.593552086347772
east,9.575802612163804
groups,9.541335609819997
national,9.495594180280499
right,9.469815407009742
another,9.45324006246159
home,9.413982418466
release,9.378232269262657
across,9.34516154625051
such,9.329930883992082
occupied,9.304404376307534
way,9.283948369352037
saying,9.28163422135812
south,9.273589629084508
countries,9.261097242433046
egypt,9.224065957214284
well,9.135172197759772
ground,9.097269636509488
house,9.071904551639372
weapons,9.067563974076307
friday,9.042948576895613
public,9.01006385952143
strikes,8.997100205435805
territory,8.950416973149194
take,8.931707962209554
central,8.894433682036142
uk,8.887118471895736
women,8.838132001797677
thursday,8.835500527726765
peace,8.819671474405046
launched,8.817673574447534
members,8.808079142803075
palestine,8.786572741649913
decision,8.7597230146861
terrorists,8.753730643760793
joe,8.740286372604753
protest,8.735646561319559
arab,8.713297919647568
violence,8.696028005877315
very,8.67419353493394
workers,8.5836285960653
run,8.553993533017886
washington,8.505570695622387
need,8.433673272831248
general,8.429335700193487
defense,8.419730168466174
chief,8.39231717602607
senior,8.345200347562713
used,8.343695149793499
thousands,8.320855763595393
plan,8.287280852185262
following,8.284689764496484
began,8.26567637741719
families,8.244632887812479
killing,8.243646074601248
hostage,8.173815919406065
order,8.160575471821915
found,8.142443128479947
party,8.131610785976301
without,8.131416065197048
others,8.117082401634619
april,8.110439733158604
down,8.052538177276867
pressure,8.050520274057307
rights,8.038225700188482
offensive,7.95747755522365
six,7.946311914634408
armed,7.912217877826075
place,7.901639235499033
pro,7.89766278615204
off,7.875263155306827
warned,7.872582991558707
must,7.87253231921071
number,7.865816171387324
return,7.835967338050529
having,7.800409121706636
arrested,7.7888713558158855
fighting,7.779309365038351
amid,7.7758543883874705
situation,7.772918655643536
rockets,7.762959778010297
reports,7.706121915093811
islamic,7.686492324226772
resolution,7.663560759701087
human,7.6480280330840165
recent,7.617587639350178
weeks,7.595712111794659
secretary,7.5917344390506285
death,7.583656118320244
pa,7.579222844137375
later,7.569633340918353
syria,7.55585119913345
full,7.5072701689579855
post,7.488346639617785
million,7.474370048747753
fired,7.470401618122697
video,7.435657787317956
campaign,7.431349011560935
american,7.420348218205012
gantz,7.389527627142473
troops,7.388324145325964
displaced,7.383134237122814
me,7.376855468684911
released,7.359905040005977
work,7.3488026939459195
medical,7.340721783141769
