Feature,TF-IDF Importance
israel,124.08074043527417
say,113.58283767353493
gaza,98.32078775844637
s,76.73907818768028
israeli,76.31696311146091
hamas,71.70078604365943
palestinian,63.8259688715993
war,57.17363652419814
ldquo,54.957289875294386
rdquo,53.159355806144994
rsquo,52.20563659623636
nbsp,44.210136715599056
attack,43.71201878156882
kill,42.482154814685
people,42.42158006453246
mr,40.921978963632604
aid,40.620764134900185
u,40.47989170549909
military,39.40343856310848
state,35.63841033821925
would,35.48229819723254
hostage,35.29581419246605
idf,33.98569518501999
minister,33.40470061258087
time,33.2822847387077
iran,33.13495601335941
rafah,32.45923737981596
also,30.83884430201053
netanyahu,30.769381032831696
united,30.514439141992508
one,29.05416569711536
force,28.82548970491583
al,28.6070980390475
take,28.49175537361852
security,27.53567860568722
the,26.752940523480667
day,26.327886745064728
report,26.326936293457294
official,26.25567904310155
group,26.244589855463694
government,26.098772409892593
biden,25.933863452948977
year,25.72851014522324
call,25.319401400208008
two,24.947729200363614
continue,24.913047659274913
page,24.90111524730651
police,24.71509978474441
strike,24.451211632757214
close,24.40207341659445
follow,24.366106074324772
include,24.18201461974924
president,23.98172976279462
live,23.894230100579556
university,23.5991330485429
strip,23.10165111375277
international,23.070920593629562
city,23.019951635751525
fire,22.98666046517867
prime,22.00122297010929
country,21.93796317206289
un,21.891643205188707
since,21.70651647431865
operation,21.673859413563953
support,21.57982851768837
civilian,21.513477920122032
ceasefire,21.45068512350699
month,21.392500689354378
october,21.368055728711045
terrorist,21.166443452595917
7,21.158089388609955
week,21.093682610785102
make,21.01927742714953
told,20.96745148593643
new,20.949994067714513
hospital,20.933488026765176
hezbollah,20.918015827332646
accord,20.719203080830358
family,20.42775138148324
world,20.28537908029414
west,20.107595596277736
area,19.892960004339866
come,19.866907212668277
child,19.82492258460547
student,19.77897908219408
go,19.645316314672897
bank,19.62874442822003
jerusalem,19.47287074996996
deal,19.43815924149031
humanitarian,19.33341402850329
last,19.251025293100778
could,19.187888623135336
release,18.979579577311096
coverage,18.86377936515695
leader,18.71868706661372
court,18.534259418372887
protest,18.356309989435402
border,18.350943843525037
use,17.956427059741188
many,17.84397941050572
right,17.82819055725456
want,17.69182520589511
southern,17.577818392215462
bbc,17.234049614313314
need,16.976395004459114
air,16.870778339602698
add,16.81904167005646
end,16.786638987266677
palestinians,16.740857392246326
plan,16.543666913191384
statement,16.37782023649634
three,16.289181822221735
work,16.26563992230412
verify,16.258635853708917
lebanon,16.232040696815158
part,16.213852249961175
back,16.189795352972766
arrest,16.07726866577576
first,16.07651459011506
access,16.067404483395762
jewish,15.984632997506015
member,15.950375750470648
home,15.950207815801505
see,15.913244054302556
000,15.785428384732246
1,15.590094808024707
advertisement,15.522837579165138
ministry,15.449272630925329
target,15.411564082222508
even,15.350300864549224
march,15.175925089164378
please,15.166128773208815
show,15.106636545489911
conflict,15.046728661001849
quot,14.973043535572172
us,14.967981642665848
thank,14.871274689942931
rocket,14.825802308156984
patience,14.800263302525428
nation,14.79683161108135
begin,14.77445072601526
monday,14.695436674008281
agency,14.62311328071919
health,14.429416620228588
thing,14.399364895010411
arm,14.33782906272413
far,14.324157219988988
n,14.20260932685646
territory,14.181902772550556
response,14.11318130499004
stand,14.098107270263064
tuesday,14.087889416873567
get,14.069866265212006
food,14.063035458562483
news,14.026062320135063
medium,13.940264286562089
return,13.83647704640042
political,13.82447113365676
law,13.812211407070555
launch,13.803776687978255
soldier,13.788012569154802
party,13.693364171598706
may,13.689773656425459
run,13.668849775664455
move,13.553781663148518
northern,13.537885132047762
woman,13.467847090649906
least,13.418258463780093
order,13.403617181897552
way,13.403282255145003
still,13.390984606776474
warn,13.370766944567508
missile,13.350691688718525
held,13.323139006244217
face,13.30097519837427
death,13.229997435106965
t,13.151185005324551
iranian,13.13898134322718
benjamin,13.126797997810726
protester,13.120736231646232
post,13.115041108022483
wednesday,13.06090220467738
well,13.034478848815155
know,13.013012495667757
lead,12.927286414396404
drone,12.904709609871329
ground,12.835962187021938
weapon,12.807709813973931
decision,12.79723160161429
sunday,12.740780300993068
fight,12.715357051969884
issue,12.712301301332861
like,12.703936801608638
around,12.643704311190582
already,12.606504585097477
foreign,12.574829342410585
2024,12.456762586187164
egypt,12.443599346279804
ndash,12.414425026515742
national,12.393700239954866
old,12.358337181589528
long,12.330215222535404
give,12.30216101343649
start,12.25109992773377
council,12.249030655609095
saturday,12.218161354603215
house,12.216954991311056
near,12.207571675757142
campus,12.205110616655812
another,12.117671234289645
east,12.080974822828697
life,12.040607381784742
place,12.03787704260175
several,11.98536147794345
four,11.94452326493948
authority,11.830030267144833
community,11.741409443150701
south,11.69744842505982
carry,11.667407346918345
worker,11.647868894610053
uk,11.585551187446995
cross,11.569737028276464
occupy,11.544456776376633
building,11.48864128888568
help,11.451562814133734
arab,11.447445514933369
head,11.43355881065643
friday,11.42196353132063
body,11.384675273087778
talk,11.310775901734173
public,11.285832800789791
number,11.271569758256213
across,11.266981181541508
action,11.198114060519078
central,11.142483606539573
thursday,11.13835983535768
try,11.111458871392138
officer,11.035456442767597
peace,11.028842377280595
video,11.02522955041926
general,10.883281791104746
violence,10.877409432962061
american,10.85398731727293
defense,10.758918121463275
pressure,10.744830605487454
demand,10.723375392538209
joe,10.722740327015954
stop,10.713797523352012
large,10.69303494087197
resolution,10.655185445274313
palestine,10.646216582004005
found,10.636637234781343
senior,10.612344174934059
provide,10.594841398695216
million,10.554422981306683
without,10.5247362498823
ask,10.522845482780392
incident,10.52141932056588
late,10.511535213985013
chief,10.483513396689672
washington,10.435389691584735
campaign,10.396832286577402
thousand,10.365050456774165
crime,10.247450917120403
situation,10.244752376792055
settler,10.23237173347474
offensive,10.22446902070624
remain,10.215443587577877
election,10.210377123655864
defence,10.13505955558158
others,10.09331802804157
set,10.084978322456722
must,10.078182651361024
camp,10.061882638594414
six,10.028589198399755
enter,10.024191273549484
point,10.021388491261009
believe,10.012006503112701
pa,9.986192900784392
proposal,9.94008544632957
hit,9.927182059198872
april,9.923493996817882
allow,9.918365001913092
side,9.903993949708385
gantz,9.829067013209546
meeting,9.787990136068053
troop,9.752016796532553
blinken,9.727672825329615
effort,9.722477875205708
administration,9.696571239421582
clear,9.683997439607705
said,9.616016330401555
displace,9.612117883221657
islamic,9.594713226343195
put,9.582181188180684
human,9.580791320740094
event,9.57969139405045
army,9.539771769601957
recent,9.53841573407216
full,9.53657695273148
secretary,9.497722799382412
syria,9.48474824521489
later,9.445000878003611
supply,9.444958918681547
reach,9.43911186464344
announce,9.437277197789241
night,9.411758848584675
