Feature,TF-IDF Importance
israel,122.30258047470039
gaza,96.09883330886652
said,94.0452806598597
israeli,71.76713126764996
hamas,71.09386117725548
war,54.96600138134866
ldquo,54.58919610585842
rdquo,52.805525589098906
rsquo,51.95233651188105
palestinian,49.17723793728479
us,44.497217665467346
nbsp,43.93025816499846
people,41.94546570067346
mr,40.46548331374735
aid,40.16032469408171
military,38.691477951085844
killed,35.406512161700064
would,34.90673463659755
idf,33.86730416123107
iran,33.139882624642624
