Feature,TF-IDF Importance
israel,124.08074043527417
say,113.58283767353493
gaza,98.32078775844637
s,76.73907818768028
israeli,76.31696311146091
hamas,71.70078604365943
palestinian,63.8259688715993
war,57.17363652419814
ldquo,54.957289875294386
rdquo,53.159355806144994
rsquo,52.20563659623636
nbsp,44.210136715599056
attack,43.71201878156882
kill,42.482154814685
people,42.42158006453246
mr,40.921978963632604
aid,40.620764134900185
u,40.47989170549909
military,39.40343856310848
state,35.63841033821925
